                         isw_bin0                euc6bindiv111111_bin0   euc6bindiv111111_bin1   euc6bindiv111111_bin2   euc6bindiv111111_bin3   euc6bindiv111111_bin4   euc6bindiv111111_bin5   isw_bin0                euc6bindiv111111_bin0   euc6bindiv111111_bin1   euc6bindiv111111_bin2   euc6bindiv111111_bin3   euc6bindiv111111_bin4   isw_bin0                euc6bindiv111111_bin0   euc6bindiv111111_bin1   euc6bindiv111111_bin2   euc6bindiv111111_bin3   isw_bin0                euc6bindiv111111_bin0   euc6bindiv111111_bin1   euc6bindiv111111_bin2   isw_bin0                euc6bindiv111111_bin0   euc6bindiv111111_bin1   isw_bin0                euc6bindiv111111_bin0   isw_bin0               
 lvals                   isw_bin0                euc6bindiv111111_bin0   euc6bindiv111111_bin1   euc6bindiv111111_bin2   euc6bindiv111111_bin3   euc6bindiv111111_bin4   euc6bindiv111111_bin5   euc6bindiv111111_bin0   euc6bindiv111111_bin1   euc6bindiv111111_bin2   euc6bindiv111111_bin3   euc6bindiv111111_bin4   euc6bindiv111111_bin5   euc6bindiv111111_bin1   euc6bindiv111111_bin2   euc6bindiv111111_bin3   euc6bindiv111111_bin4   euc6bindiv111111_bin5   euc6bindiv111111_bin2   euc6bindiv111111_bin3   euc6bindiv111111_bin4   euc6bindiv111111_bin5   euc6bindiv111111_bin3   euc6bindiv111111_bin4   euc6bindiv111111_bin5   euc6bindiv111111_bin4   euc6bindiv111111_bin5   euc6bindiv111111_bin5  
                      +9 +6.8427174692987028e-12 +2.8903236241000501e-05 +3.8818171468877811e-06 +1.2401190575175337e-06 +6.1334459312538406e-07 +3.7942842575707334e-07 +1.5910253918291281e-07 +7.5487084600189596e-09 +1.8244430534699253e-06 +3.1672600989382493e-07 +1.2219055141537193e-07 +6.9457717208146374e-08 +3.2692592460861517e-08 +3.4160722695350328e-09 -2.1199437841462919e-09 -6.6571918570138162e-09 -1.2317875062492193e-08 -1.2323799794396080e-08 +1.4674515467114155e-09 +3.8829140446815540e-10 -5.8124650149321512e-10 -1.2528205416088108e-09 +7.2011500183111612e-10 +4.3909464228561033e-10 -9.2510809385835043e-11 +3.9525332918143634e-10 +4.5262772881010698e-10 +2.0936048857449305e-10
                     +10 +4.8455012385615330e-12 +2.9178199879921168e-05 +4.0830334196389050e-06 +1.3074585276348347e-06 +6.4339351294056532e-07 +3.9507414973701879e-07 +1.6601159046837408e-07 +6.2876754217416968e-09 +1.9290775082401313e-06 +3.5107917596641220e-07 +1.3990379266097178e-07 +8.0381994843838312e-08 +3.8364085016426539e-08 +2.9629475906102837e-09 -1.2943822620649921e-09 -5.1903019884681650e-09 -9.9258220520122304e-09 -1.0653199612860998e-08 +1.2839542581645262e-09 +5.0713782095031128e-10 -2.7727990677974380e-10 -1.0362687585834017e-09 +6.3649658802558609e-10 +5.9111791597581105e-10 -9.1489893574182105e-11 +3.5048672235603007e-10 +6.0357411255504327e-10 +1.8260558787142784e-10
                     +11 +3.5361609133601542e-12 +2.9244334839379727e-05 +4.2641291485778211e-06 +1.3717474397507708e-06 +6.7244823273015813e-07 +4.1062340029420965e-07 +1.7286897047945351e-07 +5.2906303698756013e-09 +2.0149936531090880e-06 +3.8244908626733594e-07 +1.5610947531301156e-07 +9.0915454153035199e-08 +4.3788759729528873e-08 +2.5945503561321773e-09 -7.3974267958645759e-10 -4.1293838802267438e-09 -8.0141845143710181e-09 -9.1181610876834472e-09 +1.1417137326352420e-09 +5.1404709380040415e-10 -1.3232663512633178e-10 -7.3036724989106299e-10 +7.3180882564243625e-10 +6.2635517292969008e-10 -4.4081767937058933e-11 +3.1379376489473122e-10 +6.5882236143046605e-10 +1.6409726612463316e-10
                     +12 +2.6306695607494931e-12 +2.9137993153191410e-05 +4.4257927492072307e-06 +1.4329685257093007e-06 +7.0037312739692719e-07 +4.2600074375080055e-07 +1.7963225553917737e-07 +4.4916373500461550e-09 +2.0842930199446978e-06 +4.1103166019218318e-07 +1.7117615255071321e-07 +1.0079965513384002e-07 +4.9064067871439401e-08 +2.2887962787371605e-09 -4.2019498073639400e-10 -3.2757718937204902e-09 -6.5993601237033864e-09 -7.6700958938794749e-09 +1.0229948699773096e-09 +4.3665674651373199e-10 -8.5571756451815241e-11 -4.6026746018076379e-10 +5.0335893250959587e-10 +5.3713742168733301e-10 -1.1804259554441078e-11 +2.8280319430454103e-10 +5.9335466808156606e-10 +1.4794508743892008e-10
                     +13 +2.0077086312330048e-12 +2.8890271441046773e-05 +4.5688980778951234e-06 +1.4909368559996725e-06 +7.2733340300159628e-07 +4.4094695729968286e-07 +1.8631016145500533e-07 +3.8419759956269537e-09 +2.1388692708482879e-06 +4.3699612081821404e-07 +1.8535204338643210e-07 +1.0998890280805437e-07 +5.4184907311009903e-08 +2.0321946217369958e-09 -2.8120570487438099e-10 -2.5676528176770598e-09 -5.5124423263090249e-09 -6.4174073478476426e-09 +9.2053664978552176e-10 +3.1302355433837942e-10 -6.6526654907309724e-11 -2.9315287956229761e-10 +4.6599535641648634e-10 +3.5923065607519509e-10 -8.7162177818894301e-13 +2.5651674008778482e-10 +4.1410530492913916e-10 +1.3568096431164697e-10
                     +14 +1.5549811170311699e-12 +2.8527353727027060e-05 +4.6943947739737651e-06 +1.5455658126228597e-06 +7.5343515880839460e-07 +4.5540089824526415e-07 +1.9288722679053966e-07 +3.3073044834974392e-09 +2.1804285967122966e-06 +4.6054125716469992e-07 +1.9868237826609937e-07 +1.1864993953346083e-07 +5.9041078862112963e-08 +1.8143912891182372e-09 -2.4742748404202565e-10 -1.9823969235561459e-09 -4.5890533312125687e-09 -5.4124935649362292e-09 +8.3279687328936691e-10 +1.4975265376489125e-10 -5.0796963782963046e-11 -2.2697541030500383e-10 +4.1758241344785614e-10 +1.4311086986182753e-10 -7.5610665520599319e-14 +2.3315513667263751e-10 +1.6541271825395174e-10 +1.2488256127050415e-10
                     +15 +1.2202927213616170e-12 +2.8071098688219383e-05 +4.8032410415079743e-06 +1.5968304547923797e-06 +7.7865990148781207e-07 +4.6944259072841480e-07 +1.9931866579381015e-07 +2.8650162262147686e-09 +2.2106539735873010e-06 +4.8186291583967322e-07 +2.1117766435372595e-07 +1.2691105268392568e-07 +6.3597269170036484e-08 +1.6276958246571684e-09 -1.9463946878641699e-10 -1.5029394570322477e-09 -3.7671297517363761e-09 -4.5947432313902246e-09 +7.5812446308074990e-10 -5.4193447899952598e-11 -3.7458327358961615e-11 -1.7626883479010127e-10 +3.8515491546683715e-10 -7.1141784027077572e-11 -1.0558131232706900e-12 +2.1589731308242733e-10 -8.8099067225837945e-11 +1.1459636578380398e-10
                     +16 +9.7184736639178364e-13 +2.7540165406846193e-05 +4.8964062508028024e-06 +1.6447285628548082e-06 +8.0291644098934888e-07 +4.8313353342183847e-07 +2.0553404956973724e-07 +2.4941637514365976e-09 +2.2310274867786247e-06 +5.0112690624881851e-07 +2.2284705557690268e-07 +1.3481604843111904e-07 +6.7906242397149837e-08 +1.4665264462354795e-09 -5.1498279503724156e-11 -1.1071351940837111e-09 -3.0350410079181386e-09 -3.8828112863310407e-09 +6.9161167875649679e-10 -4.9372927868442577e-12 -2.6221485533878680e-11 -1.4900157539803780e-10 +3.5224303304999738e-10 +8.7246158717163576e-12 -8.6305701948430592e-13 +1.9738150318794018e-10 -2.9772175681294963e-10 +1.0564484045693691e-10
                     +17 +7.8321769673047872e-13 +2.6950942889500158e-05 +4.9748611121594912e-06 +1.6893239835566412e-06 +8.2613919679611749e-07 +4.9647688944252818e-07 +2.1154969614951073e-07 +2.1815304973189659e-09 +2.2426501837856556e-06 +5.1848561511069747e-07 +2.3372523371248558e-07 +1.4235594947324062e-07 +7.2036278226302414e-08 +1.3261338598292336e-09 +4.4606351757979796e-11 -7.8013652514944019e-10 -2.3914405233735089e-09 -3.2350121059448948e-09 +6.3455071343252368e-10 -1.4491391874241399e-11 -1.9387315418796479e-11 -1.2159562532282977e-10 +3.2548148263103387e-10 +5.3555597242359312e-12 +9.3139002633427721e-13 +1.8239379850637028e-10 -4.4968269205355505e-10 +9.7718749613050921e-11
                     +18 +6.3586935903873233e-13 +2.6318109830350978e-05 +5.0396492176206982e-06 +1.7306843456951687e-06 +8.4829673339713193e-07 +5.0943043585625800e-07 +2.1741617186902108e-07 +1.9164968750676944e-09 +2.2463948265004451e-06 +5.3406708076621490e-07 +2.4385828088315347e-07 +1.4952019495163720e-07 +7.6016953933192887e-08 +1.2033712418359517e-09 +9.4073022320467493e-11 -5.0359608047857652e-10 -1.8287829786424519e-09 -2.6381146642178239e-09 +5.8303654938856373e-10 -6.7140850857659468e-12 -1.5907549237607050e-11 -9.7395024106047919e-11 +3.0049963903104383e-10 -3.8442021708321937e-12 +8.5359103350523344e-14 +1.6796297380291975e-10 -5.3761943173568610e-10 +9.0824904770738838e-11
