                         isw_bin0                euc6bins100div111111_bin0 euc6bins100div111111_bin1 euc6bins100div111111_bin2 euc6bins100div111111_bin3 euc6bins100div111111_bin4 euc6bins100div111111_bin5 isw_bin0                euc6bins100div111111_bin0 euc6bins100div111111_bin1 euc6bins100div111111_bin2 euc6bins100div111111_bin3 euc6bins100div111111_bin4 isw_bin0                euc6bins100div111111_bin0 euc6bins100div111111_bin1 euc6bins100div111111_bin2 euc6bins100div111111_bin3 isw_bin0                euc6bins100div111111_bin0 euc6bins100div111111_bin1 euc6bins100div111111_bin2 isw_bin0                euc6bins100div111111_bin0 euc6bins100div111111_bin1 isw_bin0                euc6bins100div111111_bin0 isw_bin0               
 lvals                   isw_bin0                euc6bins100div111111_bin0 euc6bins100div111111_bin1 euc6bins100div111111_bin2 euc6bins100div111111_bin3 euc6bins100div111111_bin4 euc6bins100div111111_bin5 euc6bins100div111111_bin0 euc6bins100div111111_bin1 euc6bins100div111111_bin2 euc6bins100div111111_bin3 euc6bins100div111111_bin4 euc6bins100div111111_bin5 euc6bins100div111111_bin1 euc6bins100div111111_bin2 euc6bins100div111111_bin3 euc6bins100div111111_bin4 euc6bins100div111111_bin5 euc6bins100div111111_bin2 euc6bins100div111111_bin3 euc6bins100div111111_bin4 euc6bins100div111111_bin5 euc6bins100div111111_bin3 euc6bins100div111111_bin4 euc6bins100div111111_bin5 euc6bins100div111111_bin4 euc6bins100div111111_bin5 euc6bins100div111111_bin5
                      +9 +6.8455178655638759e-12 +1.6572020992211065e-05 +2.8099745641523895e-06 +9.0434411952659236e-07 +4.3414194413137259e-07 +2.6045245960199919e-07 +1.2579614516303621e-07 +6.5600609956069315e-09 +2.9390128345755076e-06 +6.8008563717563720e-07 +3.0191532488831032e-07 +1.8018802677497026e-07 +8.9667199180264571e-08 +3.2726496728618024e-09 +1.0172844231427167e-07 +4.1132712324303812e-08 +2.6270227807401539e-08 +1.2932756068507916e-08 +1.5318253857309798e-09 +9.0936029499261661e-11 -1.6338770133602573e-09 -2.7757592174310237e-09 +8.0033320814798045e-10 +1.2249133989693951e-10 -5.6827600218748636e-10 +4.6287490789415530e-10 +2.9028366700619644e-10 +2.5368347518766331e-10
                     +10 +4.8488981206644267e-12 +1.6794106290869978e-05 +2.9604596362446654e-06 +9.5926441714946496e-07 +4.6020021786577090e-07 +2.7495576688193771e-07 +1.3281886180895539e-07 +5.4990790354272197e-09 +3.0742668403660935e-06 +7.2816524699975807e-07 +3.2517143625592996e-07 +1.9390750914746681e-07 +9.6667351664479802e-08 +2.8346567154430559e-09 +1.1316856346324747e-07 +4.8198492682845679e-08 +3.2256785087086915e-08 +1.6549789022354518e-08 +1.3445755832163180e-09 +7.5879118145593291e-10 -5.6795777013987341e-10 -1.7785462257199621e-09 +7.0620948029056223e-10 +2.9003599991566039e-10 -4.1122776972601362e-10 +4.1014500661820858e-10 +4.0744334362735886e-10 +2.2497854342690799e-10
                     +11 +3.5333662471138370e-12 +1.6893615319868184e-05 +3.0952172065787153e-06 +1.0111714763159975e-06 +4.8511542032455386e-07 +2.8920028519980003e-07 +1.3972433612473597e-07 +4.6569825332933887e-09 +3.1864809296382758e-06 +7.7249081737690589e-07 +3.4694975193819965e-07 +2.0707558402127929e-07 +1.0346517118359458e-07 +2.4787883595496709e-09 +1.2313328737004093e-07 +5.4493569957304027e-08 +3.7599951454868981e-08 +1.9994510427142050e-08 +1.1913848576486891e-09 +1.2456777073485157e-09 +2.2198197745974173e-10 -8.3496029921545855e-10 +6.2934555805327166e-10 +3.4207170327252488e-10 -2.6820234512905674e-10 +3.6653708239641914e-10 +4.5019044945080968e-10 +2.0188391555112392e-10
                     +12 +2.6343531524094400e-12 +1.6890959226779362e-05 +3.2149254685639630e-06 +1.0601727837314149e-06 +5.0888989255972051e-07 +3.0302786383190347e-07 +1.4649107956042824e-07 +3.9784123543568910e-09 +3.2778774147097433e-06 +8.1321625351245630e-07 +3.6747045138204255e-07 +2.1954045946532098e-07 +1.1009178565661710e-07 +2.1841079367739556e-09 +1.3179089872488465e-07 +6.0203977706399442e-08 +4.2364168676174420e-08 +2.3233925011776022e-08 +1.0636991215588369e-09 +1.5980939962027706e-09 +8.3772136134103011e-10 -4.2019090254300800e-11 +5.6517245135383956e-10 +3.0394933704816279e-10 -1.7359836496220972e-10 +3.2988909923484254e-10 +3.9848376215113059e-10 +1.8204975369985390e-10
                     +13 +2.0066717233065038e-12 +1.6803672569163162e-05 +3.3203983784731571e-06 +1.1062220663386343e-06 +5.3166109359968676e-07 +3.1631337722661459e-07 +1.5314381171823387e-07 +3.4246833111008945e-09 +3.3505437140895969e-06 +8.5048669701094268e-07 +3.8689206900574265e-07 +2.3132978304781549e-07 +1.1647509849107609e-07 +1.9370555237305381e-09 +1.3932281153303300e-07 +6.5423258736521352e-08 +4.6703944483663212e-08 +2.6188894152174399e-08 +9.5606817530955293e-10 +1.8434864818006583e-09 +1.3581548540168811e-09 +5.8738028504292646e-10 +5.1051974656388433e-10 +2.0569995118231873e-10 -1.1849821841318517e-10 +2.9915768235200234e-10 +2.7718157804452397e-10 +1.6542122413706328e-10
                     +14 +1.5523512394773816e-12 +1.6646953213567299e-05 +3.4124782441591924e-06 +1.1493171891239636e-06 +5.5351930824959501e-07 +3.2907114071591582e-07 +1.5961934464736748e-07 +2.9673726955052998e-09 +3.4063695505229560e-06 +8.8447519954103318e-07 +4.0525191732156004e-07 +2.4258690965118793e-07 +1.2253523376912569e-07 +1.7276764315812076e-09 +1.4586057352821387e-07 +7.0189428029817702e-08 +5.0741584276219706e-08 +2.8861350018181203e-08 +8.6424087801962373e-10 +2.0039802237108907e-09 +1.8200393600726470e-09 +1.0988634488219260e-09 +4.6394517784909230e-10 +7.2745648337728877e-11 -9.3159211259673974e-11 +2.7255839012698505e-10 +1.1343284645022598e-10 +1.5102578048543204e-10
                     +15 +1.2219587148833261e-12 +1.6433921811181156e-05 +3.4919986567130552e-06 +1.1894882941391443e-06 +5.7445707205994854e-07 +3.4139264700856169e-07 +1.6585815535891606e-07 +2.5861418939578051e-09 +3.4471194800157001e-06 +9.1535439217557892e-07 +4.2255213611607750e-07 +2.5337736187145054e-07 +1.2829508166586785e-07 +1.5484173113955531e-09 +1.5157430258967674e-07 +7.4541768399475533e-08 +5.4524880213150211e-08 +3.1326232694290262e-08 +7.8494139552657841e-10 +2.1583291033292899e-09 +2.2331638057360829e-09 +1.5443722766195607e-09 +4.2373470759322437e-10 -2.2575279951195226e-11 -5.1254705243968203e-11 +2.4943582475318009e-10 -5.7162660412086457e-11 +1.3856977610288448e-10
                     +16 +9.7274326066488670e-13 +1.6175863510151069e-05 +3.5597552652852295e-06 +1.2267880282145310e-06 +5.9444944615917420e-07 +3.5329381992804402e-07 +1.7186399091334451e-07 +2.2655993382616449e-09 +3.4744331693540620e-06 +9.4329146279114601e-07 +4.3879722990995595e-07 +2.6371878143692173e-07 +1.3381682906238390e-07 +1.3937550983957697e-09 +1.5660828126038855e-07 +7.8513584754647087e-08 +5.8063464571967823e-08 +3.3646188270016424e-08 +7.1597336527857381e-10 +2.1962218803274864e-09 +2.6028781137713018e-09 +1.9472079310835644e-09 +3.8870220582879978e-10 -1.4150494621382403e-11 -3.2114055264731918e-11 +2.2959395906989448e-10 -2.0504351658607795e-10 +1.1821317510965174e-10
                     +17 +7.8256808411561392e-13 +1.5882503367779867e-05 +3.6165869974312414e-06 +1.2613001870319160e-06 +6.1344977441530772e-07 +3.6484813625493236e-07 +1.7767251309783690e-07 +1.9939618281060444e-09 +3.4894700067253787e-06 +9.6844593986232190e-07 +4.5400858005276752e-07 +2.7360451280424584e-07 +1.3913695516406634e-07 +1.2591125532916947e-09 +1.6095412906675246e-07 +8.2138045812302765e-08 +6.1365902102068473e-08 +3.5846715668687191e-08 +6.5560782969544887e-10 +2.2878611270146351e-09 +2.9327024182299336e-09 +2.3198532065242587e-09 +3.5797999626935618e-10 -7.4318465656019092e-12 -1.2883884318808257e-11 +2.1200848789012038e-10 -3.1766590994354552e-10 +1.1811103703834961e-10
                     +18 +6.3754971001467686e-13 +1.5562183892573743e-05 +3.6631414367415575e-06 +1.2931102333046838e-06 +6.3142795198715397e-07 +3.7594921460179386e-07 +1.8331513909906558e-07 +1.7628142780210368e-09 +3.4939746543680905e-06 +9.9097821475009074e-07 +4.6822355767162363e-07 +2.8301594167142136e-07 +1.4426901624907018e-07 +1.1418871231771731e-09 +1.6467145806407780e-07 +8.5441267243566805e-08 +6.4440943204149174e-08 +3.7929449217740410e-08 +6.0228301210377960e-10 +2.7362549854921176e-09 +3.2282285319287540e-09 +2.6614808212498907e-09 +3.3082453395241777e-10 -1.9900428252463175e-12 +7.2095951160048906e-12 +1.9656341598707039e-10 -3.7586088937396486e-10 +1.0968399406871063e-10
