#    L    TT             EE             TE          
   225    0.53554E+04    0.90958E+00    0.20317E+02
   226    0.53529E+04    0.93859E+00    0.21826E+02
   227    0.53497E+04    0.96908E+00    0.23342E+02
   228    0.53461E+04    0.10011E+01    0.24864E+02
   229    0.53419E+04    0.10346E+01    0.26390E+02
   230    0.53371E+04    0.10696E+01    0.27921E+02
   231    0.53316E+04    0.11063E+01    0.29455E+02
   232    0.53256E+04    0.11445E+01    0.30992E+02
   233    0.53191E+04    0.11845E+01    0.32531E+02
   234    0.53118E+04    0.12260E+01    0.34071E+02
   235    0.53040E+04    0.12691E+01    0.35611E+02
   236    0.52956E+04    0.13139E+01    0.37152E+02
   237    0.52866E+04    0.13605E+01    0.38692E+02
   238    0.52771E+04    0.14087E+01    0.40231E+02
   239    0.52670E+04    0.14586E+01    0.41768E+02
   240    0.52563E+04    0.15102E+01    0.43301E+02
   241    0.52451E+04    0.15636E+01    0.44831E+02
   242    0.52333E+04    0.16187E+01    0.46356E+02
   243    0.52209E+04    0.16756E+01    0.47877E+02
   244    0.52080E+04    0.17342E+01    0.49393E+02
   245    0.51945E+04    0.17946E+01    0.50901E+02
   246    0.51804E+04    0.18567E+01    0.52403E+02
   247    0.51659E+04    0.19206E+01    0.53897E+02
   248    0.51508E+04    0.19866E+01    0.55383E+02
   249    0.51352E+04    0.20540E+01    0.56859E+02
   250    0.51191E+04    0.21235E+01    0.58325E+02
   251    0.51025E+04    0.21946E+01    0.59782E+02
   252    0.50853E+04    0.22676E+01    0.61227E+02
   253    0.50678E+04    0.23423E+01    0.62660E+02
   254    0.50497E+04    0.24191E+01    0.64081E+02
   255    0.50311E+04    0.24975E+01    0.65490E+02
   256    0.50120E+04    0.25781E+01    0.66887E+02
   257    0.49925E+04    0.26604E+01    0.68263E+02
   258    0.49725E+04    0.27448E+01    0.69633E+02
   259    0.49521E+04    0.28311E+01    0.70981E+02
   260    0.49313E+04    0.29194E+01    0.72322E+02
   261    0.49100E+04    0.30096E+01    0.73634E+02
   262    0.48882E+04    0.31020E+01    0.74939E+02
   263    0.48662E+04    0.31963E+01    0.76231E+02
   264    0.48437E+04    0.32926E+01    0.77501E+02
   265    0.48206E+04    0.33909E+01    0.78743E+02
   266    0.47973E+04    0.34914E+01    0.79979E+02
   267    0.47734E+04    0.35938E+01    0.81187E+02
   268    0.47492E+04    0.36984E+01    0.82382E+02
   269    0.47245E+04    0.38050E+01    0.83557E+02
   270    0.46995E+04    0.39137E+01    0.84712E+02
   271    0.46741E+04    0.40244E+01    0.85846E+02
   272    0.46485E+04    0.41373E+01    0.86953E+02
   273    0.46225E+04    0.42521E+01    0.88048E+02
   274    0.45962E+04    0.43691E+01    0.89108E+02
   275    0.45695E+04    0.44881E+01    0.90157E+02
   276    0.45426E+04    0.46091E+01    0.91171E+02
   277    0.45152E+04    0.47322E+01    0.92173E+02
   278    0.44876E+04    0.48574E+01    0.93142E+02
   279    0.44598E+04    0.49845E+01    0.94084E+02
   280    0.44316E+04    0.51137E+01    0.95016E+02
   281    0.44034E+04    0.52449E+01    0.95913E+02
   282    0.43746E+04    0.53780E+01    0.96785E+02
   283    0.43458E+04    0.55132E+01    0.97632E+02
   284    0.43167E+04    0.56503E+01    0.98453E+02
   285    0.42874E+04    0.57894E+01    0.99248E+02
   286    0.42578E+04    0.59305E+01    0.10001E+03
   287    0.42280E+04    0.60734E+01    0.10076E+03
   288    0.41980E+04    0.62183E+01    0.10147E+03
   289    0.41679E+04    0.63650E+01    0.10216E+03
   290    0.41375E+04    0.65134E+01    0.10282E+03
   291    0.41071E+04    0.66644E+01    0.10345E+03
   292    0.40762E+04    0.68167E+01    0.10405E+03
   293    0.40455E+04    0.69700E+01    0.10462E+03
   294    0.40144E+04    0.71259E+01    0.10517E+03
   295    0.39835E+04    0.72829E+01    0.10569E+03
   296    0.39522E+04    0.74425E+01    0.10618E+03
   297    0.39209E+04    0.76024E+01    0.10664E+03
   298    0.38894E+04    0.77649E+01    0.10707E+03
   299    0.38579E+04    0.79293E+01    0.10747E+03
   300    0.38262E+04    0.80941E+01    0.10783E+03
   301    0.37945E+04    0.82608E+01    0.10818E+03
   302    0.37627E+04    0.84287E+01    0.10850E+03
   303    0.37309E+04    0.85984E+01    0.10878E+03
   304    0.36990E+04    0.87701E+01    0.10903E+03
   305    0.36672E+04    0.89422E+01    0.10925E+03
   306    0.36352E+04    0.91153E+01    0.10944E+03
   307    0.36033E+04    0.92896E+01    0.10959E+03
   308    0.35713E+04    0.94665E+01    0.10972E+03
   309    0.35395E+04    0.96430E+01    0.10981E+03
   310    0.35075E+04    0.98199E+01    0.10987E+03
   311    0.34757E+04    0.99993E+01    0.10990E+03
   312    0.34439E+04    0.10178E+02    0.10989E+03
   313    0.34121E+04    0.10358E+02    0.10985E+03
   314    0.33803E+04    0.10540E+02    0.10979E+03
   315    0.33487E+04    0.10720E+02    0.10968E+03
   316    0.33171E+04    0.10902E+02    0.10954E+03
   317    0.32856E+04    0.11083E+02    0.10937E+03
   318    0.32541E+04    0.11266E+02    0.10916E+03
   319    0.32228E+04    0.11449E+02    0.10892E+03
   320    0.31916E+04    0.11632E+02    0.10866E+03
   321    0.31605E+04    0.11815E+02    0.10835E+03
   322    0.31296E+04    0.11998E+02    0.10801E+03
   323    0.30988E+04    0.12181E+02    0.10764E+03
   324    0.30681E+04    0.12364E+02    0.10722E+03
   325    0.30376E+04    0.12545E+02    0.10678E+03
   326    0.30072E+04    0.12728E+02    0.10630E+03
   327    0.29770E+04    0.12910E+02    0.10578E+03
   328    0.29470E+04    0.13091E+02    0.10524E+03
   329    0.29172E+04    0.13272E+02    0.10466E+03
   330    0.28876E+04    0.13452E+02    0.10404E+03
   331    0.28582E+04    0.13631E+02    0.10339E+03
   332    0.28290E+04    0.13810E+02    0.10272E+03
   333    0.28000E+04    0.13988E+02    0.10201E+03
   334    0.27713E+04    0.14165E+02    0.10126E+03
   335    0.27427E+04    0.14341E+02    0.10048E+03
   336    0.27144E+04    0.14515E+02    0.99666E+02
   337    0.26863E+04    0.14689E+02    0.98809E+02
   338    0.26585E+04    0.14861E+02    0.97931E+02
   339    0.26310E+04    0.15033E+02    0.97016E+02
   340    0.26038E+04    0.15202E+02    0.96079E+02
   341    0.25767E+04    0.15370E+02    0.95097E+02
   342    0.25500E+04    0.15538E+02    0.94085E+02
   343    0.25236E+04    0.15702E+02    0.93042E+02
   344    0.24975E+04    0.15866E+02    0.91970E+02
   345    0.24716E+04    0.16027E+02    0.90867E+02
   346    0.24461E+04    0.16187E+02    0.89740E+02
   347    0.24208E+04    0.16344E+02    0.88576E+02
