                         isw_bin0                euc1bincatz0e+00_bin0   euc1bincatz1e-03_bin0   euc1bincatz5e-03_bin0   euc1bincatz1e-02_bin0   euc1bincatz2e-02_bin0   euc1bincatz5e-02_bin0   euc1bincatz1e-01_bin0   euc1bincatz2e-01_bin0   isw_bin0                euc1bincatz0e+00_bin0   euc1bincatz1e-03_bin0   euc1bincatz5e-03_bin0   euc1bincatz1e-02_bin0   euc1bincatz2e-02_bin0   euc1bincatz5e-02_bin0   euc1bincatz1e-01_bin0   isw_bin0                euc1bincatz0e+00_bin0   euc1bincatz1e-03_bin0   euc1bincatz5e-03_bin0   euc1bincatz1e-02_bin0   euc1bincatz2e-02_bin0   euc1bincatz5e-02_bin0   isw_bin0                euc1bincatz0e+00_bin0   euc1bincatz1e-03_bin0   euc1bincatz5e-03_bin0   euc1bincatz1e-02_bin0   euc1bincatz2e-02_bin0   isw_bin0                euc1bincatz0e+00_bin0   euc1bincatz1e-03_bin0   euc1bincatz5e-03_bin0   euc1bincatz1e-02_bin0   isw_bin0                euc1bincatz0e+00_bin0   euc1bincatz1e-03_bin0   euc1bincatz5e-03_bin0   isw_bin0                euc1bincatz0e+00_bin0   euc1bincatz1e-03_bin0   isw_bin0                euc1bincatz0e+00_bin0   isw_bin0               
 lvals                   isw_bin0                euc1bincatz0e+00_bin0   euc1bincatz1e-03_bin0   euc1bincatz5e-03_bin0   euc1bincatz1e-02_bin0   euc1bincatz2e-02_bin0   euc1bincatz5e-02_bin0   euc1bincatz1e-01_bin0   euc1bincatz2e-01_bin0   euc1bincatz0e+00_bin0   euc1bincatz1e-03_bin0   euc1bincatz5e-03_bin0   euc1bincatz1e-02_bin0   euc1bincatz2e-02_bin0   euc1bincatz5e-02_bin0   euc1bincatz1e-01_bin0   euc1bincatz2e-01_bin0   euc1bincatz1e-03_bin0   euc1bincatz5e-03_bin0   euc1bincatz1e-02_bin0   euc1bincatz2e-02_bin0   euc1bincatz5e-02_bin0   euc1bincatz1e-01_bin0   euc1bincatz2e-01_bin0   euc1bincatz5e-03_bin0   euc1bincatz1e-02_bin0   euc1bincatz2e-02_bin0   euc1bincatz5e-02_bin0   euc1bincatz1e-01_bin0   euc1bincatz2e-01_bin0   euc1bincatz1e-02_bin0   euc1bincatz2e-02_bin0   euc1bincatz5e-02_bin0   euc1bincatz1e-01_bin0   euc1bincatz2e-01_bin0   euc1bincatz2e-02_bin0   euc1bincatz5e-02_bin0   euc1bincatz1e-01_bin0   euc1bincatz2e-01_bin0   euc1bincatz5e-02_bin0   euc1bincatz1e-01_bin0   euc1bincatz2e-01_bin0   euc1bincatz1e-01_bin0   euc1bincatz2e-01_bin0   euc1bincatz2e-01_bin0  
                     +30 +9.2543483152680797e-14 +9.5151506458020521e-07 +9.5031899597931282e-07 +9.4567551551031799e-07 +9.4017981838499995e-07 +9.3016853012504831e-07 +9.0713047794110631e-07 +8.8739929793801377e-07 +8.9336893933644231e-07 +2.7674811565766885e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.7660696672953257e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.7604654121449293e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.7535525467190411e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.7400265319828784e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.7016967616133848e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.6436271789838669e-10 +0.0000000000000000e+00 +2.5486460372842950e-10
                     +31 +8.1261254888056769e-14 +9.4541892690648018e-07 +9.4421196460397291e-07 +9.3952208503317069e-07 +9.3396039059559319e-07 +9.2380161029045519e-07 +9.0018549382802677e-07 +8.7914879582526405e-07 +8.8183920108432369e-07 +2.5814126432022127e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.5800723887974059e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.5747509685427169e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.5681869808034122e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.5553435954024302e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.5189482474164196e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.4645757097416862e-10 +0.0000000000000000e+00 +2.3741563084201368e-10
                     +32 +7.1605617603504957e-14 +9.3874319409904197e-07 +9.3752760627929535e-07 +9.3279944070180043e-07 +9.2718856837553939e-07 +9.1690811079003530e-07 +8.9279754431314346e-07 +8.7061000424021351e-07 +8.7031788156740028e-07 +2.4124275285699791e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.4111534413408271e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.4060947349017649e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.3998548054368125e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.3876454866238858e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.3530469448068152e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.3013587312702217e-10 +0.0000000000000000e+00 +2.2157661433403561e-10
                     +33 +6.3301718502819157e-14 +9.3159075540996281e-07 +9.3034001341403172e-07 +9.2523538312145423e-07 +9.1994452601549924e-07 +9.0955498420706580e-07 +8.8502633676482377e-07 +8.6182882805201790e-07 +8.5884290428047339e-07 +2.2561401507716673e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.2549304153975291e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.2501272151245904e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.2442024532768459e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.2326098052034891e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.1997587735216914e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.1506812387098530e-10 +0.0000000000000000e+00 +2.0694117784916272e-10
                     +34 +5.6178563423209020e-14 +9.2392803032474194e-07 +9.2270207084554308e-07 +9.1792696715651244e-07 +9.1224504617304879e-07 +9.0178953948547614e-07 +8.7690908356807751e-07 +8.5282174966374097e-07 +8.4739751399142889e-07 +2.1125396873253250e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.1113918195755040e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.1068342619416818e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.1012125010211907e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.0902127178098843e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.0590417356079840e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.0124740972168706e-10 +0.0000000000000000e+00 +1.9353608752469197e-10
                     +35 +4.9979929103443449e-14 +9.1589133185192963e-07 +9.1466465611184521e-07 +9.0987910466052907e-07 +9.0416902006750918e-07 +8.9366287390559523e-07 +8.6849423181991875e-07 +8.4362960165061127e-07 +8.3600185697319192e-07 +1.9810060517291947e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.9799168835520710e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.9755923899499080e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.9702581142068923e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.9598208370632446e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.9302438741512349e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.8860576080697669e-10 +0.0000000000000000e+00 +1.8128877961126768e-10
                     +36 +4.4574385872731390e-14 +9.0751249194654395e-07 +9.0628344629528065e-07 +9.0149269102438494e-07 +8.9577702175507792e-07 +8.8522681564638067e-07 +8.5982621189688286e-07 +8.3428643215110985e-07 +8.2467531347921295e-07 +1.8597048483359922e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.8586722024408311e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.8545721280347273e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.8495146740387126e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.8396190384284302e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.8115769692749610e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.7696837453906739e-10 +0.0000000000000000e+00 +1.7003110740670106e-10
                     +37 +3.9863360675247865e-14 +8.9883197072035431e-07 +8.9760376010176293e-07 +8.9281433905915782e-07 +8.8709782534894475e-07 +8.7652159914579342e-07 +8.5094739443230905e-07 +8.2482570786619993e-07 +8.1343433910834956e-07 +1.7477716519690497e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.7467932693396347e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.7429086448066055e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.7381169488709648e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.7287413071010657e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.7021727868741834e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.6624809595683051e-10 +0.0000000000000000e+00 +1.5967536692186344e-10
                     +38 +3.5727150811621844e-14 +8.8988984516388928e-07 +8.8866393968153267e-07 +8.8388180981204805e-07 +8.7816930824429803e-07 +8.6758643588498859e-07 +8.4188203790334486e-07 +8.1527752367264045e-07 +8.0229933956683409e-07 +1.6442378515626997e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.6433117311285601e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.6396346113076880e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.6350988730527528e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.6262240492718897e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.6010747377987370e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.5635031260066693e-10 +0.0000000000000000e+00 +1.5012867856469346e-10
                     +39 +3.2092822138305305e-14 +8.8073939527976510e-07 +8.7951461679477396e-07 +8.7474248055033298e-07 +8.6904018730465641e-07 +8.5846597175785555e-07 +8.3267270515967606e-07 +8.0566046042284245e-07 +7.9126634105960871e-07 +1.5490525450657978e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.5481755732296736e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.5446935957221021e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.5403985660920499e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.5319947233308798e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.5081800691596268e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.4738297809747947e-10 +0.0000000000000000e+00 +1.4153804716669899e-10
                     +40 +2.8892028178609763e-14 +8.7139564515610448e-07 +8.7017797458468915e-07 +8.6542404112651641e-07 +8.5973781164747976e-07 +8.4918056252662035e-07 +8.2334418824531780e-07 +7.9599254124289763e-07 +7.8032775739078719e-07 +1.4611924867220175e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.4603688272597022e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.4570985241512894e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.4530645955232743e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.4451716343985319e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.4228047071588413e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.3893898159349530e-10 +0.0000000000000000e+00 +1.3340567560445634e-10
                     +41 +2.6064799256260426e-14 +8.6190337991895127e-07 +8.6069144947536694e-07 +8.5595844694354004e-07 +8.5029394273328021e-07 +8.3976584626263948e-07 +8.1391913824614102e-07 +7.8629350329012354e-07 +7.6949301942900999e-07 +1.3782795779576006e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.3775004620935306e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.3744070173525143e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.3705912440476295e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.3631251351662960e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.3419678139185206e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.3103600038466596e-10 +0.0000000000000000e+00 +1.2580193621850751e-10
                     +42 +2.3561896712945503e-14 +8.5229698897506638e-07 +8.5109170313848382e-07 +8.4638327749767343e-07 +8.4074511156464233e-07 +8.3025535057094716e-07 +8.0443428779421446e-07 +7.7659165451178367e-07 +7.5879058320627421e-07 +1.3010724545552850e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.3003353711383774e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.2974088143515361e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.2937988978353663e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.2867355773472902e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.2667196703979751e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.2368170670456486e-10 +0.0000000000000000e+00 +1.1873001456501364e-10
                     +43 +2.1339595684538488e-14 +8.4260002961325597e-07 +8.4140242708615460e-07 +8.3672263385624963e-07 +8.3111659860784422e-07 +8.2067635137916902e-07 +7.9490247558632116e-07 +7.6690520623053744e-07 +7.4821361527280309e-07 +1.2299590576904320e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.2292605410508008e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.2264871119306395e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.2230660788475613e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.2163723359430218e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.1974037311138790e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.1690657363485556e-10 +0.0000000000000000e+00 +1.1221397131268428e-10
                     +44 +1.9356504613685459e-14 +8.3283673983005805e-07 +8.3164738298784587e-07 +8.2699823517537006e-07 +8.2142609117148783e-07 +8.1104229503745162e-07 +7.8534819503598995e-07 +7.5724106480367536e-07 +7.3777001328822574e-07 +1.1637325566366208e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.1630702132076270e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.1604404082047114e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.1571965358981802e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.1508494335148459e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.1328631321829065e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.1059926418340883e-10 +0.0000000000000000e+00 +1.0614967180917904e-10
                     +45 +1.7591514718955446e-14 +8.2303015497218885e-07 +8.2184954107661894e-07 +8.1723371433172308e-07 +8.1170015765203753e-07 +8.0170275799305490e-07 +7.7578799654578168e-07 +7.4761258583888837e-07 +7.2746286850460707e-07 +1.1017090125223251e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.1010809279761038e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.0985871463371464e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.0955110592553375e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.0894922527785887e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.0724362703142624e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.0469556223622869e-10 +0.0000000000000000e+00 +1.0047611944431369e-10
                     +46 +1.6019121406812604e-14 +8.1320236330550636e-07 +8.1203123926533153e-07 +8.0745353323863311e-07 +8.0196003834958404e-07 +7.9171053318262228e-07 +7.6624084958210711e-07 +7.3803577818813538e-07 +7.1729311388236703e-07 +1.0437008411762111e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.0431051062071526e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.0407397671195022e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.0378221143074228e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.0321133072498793e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.0159357954056577e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +9.9176753157777832e-11 +0.0000000000000000e+00 +9.5174633321820522e-11
                     +47 +1.4608850406380527e-14 +8.0337534355287855e-07 +8.0221418267658028e-07 +7.9767315389364223e-07 +7.9222433879588422e-07 +7.8204994908398196e-07 +7.5672186430728047e-07 +7.2853082681800683e-07 +7.0726681478333892e-07 +9.8934819325773359e-11 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +9.8878309117030468e-11 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +9.8653937857102431e-11 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +9.8377175239473186e-11 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +9.7835649401222428e-11 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +9.6301083497356901e-11 +0.0000000000000000e+00 +0.0000000000000000e+00 +9.4008531096034498e-11 +0.0000000000000000e+00 +9.0212201535232594e-11
                     +48 +1.3342408644441181e-14 +7.9355756846400808e-07 +7.9240664265152841e-07 +7.8790568710916475e-07 +7.8250304173465036e-07 +7.7240906763829456e-07 +7.4723843147204573e-07 +7.1908833461003128e-07 +6.9738221568909365e-07 +9.3953980977033679e-11 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +9.3900576911025465e-11 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +9.3688538452098353e-11 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +9.3329137191032285e-11 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +9.2815088410067800e-11 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +9.1358386482898614e-11 +0.0000000000000000e+00 +0.0000000000000000e+00 +8.9182158343898311e-11 +0.0000000000000000e+00 +8.5578454799163465e-11
                     +49 +1.2203969073513709e-14 +7.8377696864721354e-07 +7.8263697107747482e-07 +7.7817708599841786e-07 +7.7282246570689580e-07 +7.6281280423191116e-07 +7.3781366029067243e-07 +7.0973370763200870e-07 +6.8764818437631214e-07 +8.9212797583006267e-11 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +8.9162122087978752e-11 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +8.8960917298266054e-11 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +8.8712730590671021e-11 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +8.8227117627387309e-11 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +8.6850996594386393e-11 +0.0000000000000000e+00 +0.0000000000000000e+00 +8.4680229086524018e-11 +0.0000000000000000e+00 +8.1255752461450100e-11
                     +50 +1.1178513563064263e-14 +7.7404457538156837e-07 +7.7291562457198883e-07 +7.6849844680272021e-07 +7.6319349007106622e-07 +7.5327183866617571e-07 +7.2845658930446786e-07 +7.0047101319630168e-07 +6.7806738102937474e-07 +8.4759927414115685e-11 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +8.4711805219240330e-11 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +8.4520738193744992e-11 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +8.4285056448517313e-11 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +8.3823911241342691e-11 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +8.2517126483025151e-11 +0.0000000000000000e+00 +0.0000000000000000e+00 +8.0564865893795433e-11 +0.0000000000000000e+00 +7.7210634730815171e-11
