                         isw_bin0                eucz7000_b20000_bin0    eucz7000_b20010_bin0    eucz7000_b20100_bin0    eucz7000_b20500_bin0    eucz7000_b21000_bin0    eucz7000_b22000_bin0    eucz7000_b25000_bin0    eucz7000_b210000_bin0   isw_bin0                eucz7000_b20000_bin0    eucz7000_b20010_bin0    eucz7000_b20100_bin0    eucz7000_b20500_bin0    eucz7000_b21000_bin0    eucz7000_b22000_bin0    eucz7000_b25000_bin0    isw_bin0                eucz7000_b20000_bin0    eucz7000_b20010_bin0    eucz7000_b20100_bin0    eucz7000_b20500_bin0    eucz7000_b21000_bin0    eucz7000_b22000_bin0    isw_bin0                eucz7000_b20000_bin0    eucz7000_b20010_bin0    eucz7000_b20100_bin0    eucz7000_b20500_bin0    eucz7000_b21000_bin0    isw_bin0                eucz7000_b20000_bin0    eucz7000_b20010_bin0    eucz7000_b20100_bin0    eucz7000_b20500_bin0    isw_bin0                eucz7000_b20000_bin0    eucz7000_b20010_bin0    eucz7000_b20100_bin0    isw_bin0                eucz7000_b20000_bin0    eucz7000_b20010_bin0    isw_bin0                eucz7000_b20000_bin0    isw_bin0               
 lvals                   isw_bin0                eucz7000_b20000_bin0    eucz7000_b20010_bin0    eucz7000_b20100_bin0    eucz7000_b20500_bin0    eucz7000_b21000_bin0    eucz7000_b22000_bin0    eucz7000_b25000_bin0    eucz7000_b210000_bin0   eucz7000_b20000_bin0    eucz7000_b20010_bin0    eucz7000_b20100_bin0    eucz7000_b20500_bin0    eucz7000_b21000_bin0    eucz7000_b22000_bin0    eucz7000_b25000_bin0    eucz7000_b210000_bin0   eucz7000_b20010_bin0    eucz7000_b20100_bin0    eucz7000_b20500_bin0    eucz7000_b21000_bin0    eucz7000_b22000_bin0    eucz7000_b25000_bin0    eucz7000_b210000_bin0   eucz7000_b20100_bin0    eucz7000_b20500_bin0    eucz7000_b21000_bin0    eucz7000_b22000_bin0    eucz7000_b25000_bin0    eucz7000_b210000_bin0   eucz7000_b20500_bin0    eucz7000_b21000_bin0    eucz7000_b22000_bin0    eucz7000_b25000_bin0    eucz7000_b210000_bin0   eucz7000_b21000_bin0    eucz7000_b22000_bin0    eucz7000_b25000_bin0    eucz7000_b210000_bin0   eucz7000_b22000_bin0    eucz7000_b25000_bin0    eucz7000_b210000_bin0   eucz7000_b25000_bin0    eucz7000_b210000_bin0   eucz7000_b210000_bin0  
                     +30 +9.2818958833563142e-14 +9.5151506458019642e-07 +1.0104894769685954e-06 +1.6317673975484936e-06 +6.3669827713722461e-06 +1.6816617958895460e-05 +5.2818384582326849e-05 +2.8164374610910970e-04 +1.0657529090522238e-03 +2.7674811565765877e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.8594011199841798e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +3.6866807906525102e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +7.3634793269562024e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.1959477497335820e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.1151473838095050e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +4.8727462860372725e-09 +0.0000000000000000e+00 +9.4687444564168891e-09
                     +31 +8.1513993909523395e-14 +9.4541892690647129e-07 +1.0042604785759242e-06 +1.6245830114997405e-06 +6.3578694463583611e-06 +1.6811872013309443e-05 +5.2844607890673770e-05 +2.8194135103606915e-04 +1.0670959271233047e-03 +2.5814126432021181e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.6675774509303606e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +3.4430607204845410e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +6.8896530296142323e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.1197893416026346e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.9814374188850567e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +4.5671926545903890e-09 +0.0000000000000000e+00 +8.8761857573546250e-09
                     +32 +7.1770628345392859e-14 +9.3874319409903297e-07 +9.9740668373544628e-07 +1.6161822249089091e-06 +6.3438087145943209e-06 +1.6793548703186677e-05 +5.2827108242186069e-05 +2.8200094111258952e-04 +1.0675328710616986e-03 +2.4124275285698907e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.4933379954951664e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +3.2215321978226517e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +6.4579508748336960e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.0503474221097503e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.8594520913625110e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +4.2866959804828228e-09 +0.0000000000000000e+00 +8.3321235593976124e-09
                     +33 +6.3446397285146240e-14 +9.3159075541018548e-07 +9.9003116189228918e-07 +1.6068126290251931e-06 +6.3252597834156202e-06 +1.6762715288432444e-05 +5.2769001622775911e-05 +2.8183878231224007e-04 +1.0671246960558061e-03 +2.2561401507715843e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.3321744128152582e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +3.0164827712083164e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +6.0578532529552453e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +9.8595663551389069e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.7462992559506222e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +4.0273271172608179e-09 +0.0000000000000000e+00 +7.8290402194444781e-09
                     +34 +5.6279860258923266e-14 +9.2392803032473358e-07 +9.8211596133662134e-07 +1.5965118133480091e-06 +6.3025058669811294e-06 +1.6720205431030008e-05 +5.2673028366034878e-05 +2.8147076741112870e-04 +1.0659312318414729e-03 +2.1125396873252469e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.1840612521522330e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.8277553355951024e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +5.6886179286745246e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +9.2646961700238015e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.6416852652722353e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +3.7873322100818017e-09 +0.0000000000000000e+00 +7.3634104514310783e-09
                     +35 +5.0030088663836750e-14 +9.1589133185192021e-07 +9.7378800347086148e-07 +1.5854186283984980e-06 +6.2759361392640992e-06 +1.6666948476615616e-05 +5.2542003616256348e-05 +2.8091114451512828e-04 +1.0640063335638813e-03 +1.9810060517291208e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.0483688123111536e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.6546336575494456e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +5.3491440808307414e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +8.7172821099323612e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.5453558168135606e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +3.5675422325751163e-09 +0.0000000000000000e+00 +6.9368357814246304e-09
                     +36 +4.4595226828796908e-14 +9.0751249194653517e-07 +9.6508684041177108e-07 +1.5736069702360818e-06 +6.2458370519384162e-06 +1.6603777291994638e-05 +5.2378526196248458e-05 +2.8017356097201758e-04 +1.0614013295154551e-03 +1.8597048483359232e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.9232128408204097e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.4947847731807852e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +5.0351044725602342e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +8.2105040967845436e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.4566602347782458e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +3.3625011348698242e-09 +0.0000000000000000e+00 +6.5389026350224568e-09
                     +37 +3.9850288206639382e-14 +8.9883197072034510e-07 +9.5605509047030147e-07 +1.5611606796399689e-06 +6.2125670344212838e-06 +1.6531532039549154e-05 +5.2185150907896845e-05 +2.7927148663968373e-04 +1.0581670247195489e-03 +1.7477716519689848e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.8077034435953956e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.3470895682330951e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +4.7443612332895369e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +7.7409508146100874e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.3740728362214076e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +3.1728106336389954e-09 +0.0000000000000000e+00 +6.1704503877644350e-09
                     +38 +3.5696745262967333e-14 +8.8988984516388103e-07 +9.4673875751071286e-07 +1.5481478907692769e-06 +6.1763799271091635e-06 +1.6450917222797585e-05 +5.1964117424595701e-05 +2.7821681805959838e-04 +1.0543482879181250e-03 +1.6442378515626382e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.7008436924195098e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.2102962601313510e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +4.4745298944062037e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +7.3084288310917685e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.2971461588523693e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.9964213459077029e-09 +0.0000000000000000e+00 +5.8282786689423579e-09
                     +39 +3.2057433504889104e-14 +8.8073939527975588e-07 +9.3718642312557844e-07 +1.5346387307930422e-06 +6.1375513973713444e-06 +1.6362644419871981e-05 +5.1717659804606845e-05 +2.7702140545053883e-04 +1.0499898601955382e-03 +1.5490525450657401e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.6025903851652828e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.0844309460611672e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +4.2268935264697777e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +6.9041108155737735e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.2258545393781761e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.8321849128405736e-09 +0.0000000000000000e+00 +5.5091747897547851e-09
                     +40 +2.8847864405398810e-14 +8.7139564515609622e-07 +9.2742221675577417e-07 +1.5206913894050339e-06 +6.0963253375042898e-06 +1.6267371080428625e-05 +5.1447813133561952e-05 +2.7569596060508707e-04 +1.0451322656591742e-03 +1.4611924867219619e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.5118728031236615e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.9679956507389578e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +3.9952083068069402e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +6.5292241268919182e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.1597255767061873e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.6801350687571743e-09 +0.0000000000000000e+00 +5.2141508888421521e-09
                     +41 +2.6012498013147010e-14 +8.6190337991894216e-07 +9.1749047366202249e-07 +1.5063635517909328e-06 +6.0529088779063685e-06 +1.6165719321084090e-05 +5.1156534360138958e-05 +2.7425102110779979e-04 +1.0398153311425736e-03 +1.3782795779575481e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.4262620114363224e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.8581039127452910e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +3.7774012518962621e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +6.1765229258349764e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.0974766273712402e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.5369496317344681e-09 +0.0000000000000000e+00 +4.9360713056731809e-09
                     +42 +2.3515219387124890e-14 +8.5229698897505780e-07 +9.0742840031701064e-07 +1.4917285758534442e-06 +6.0075900604404417e-06 +1.6058261649537192e-05 +5.0845632027380409e-05 +2.7269620915307404e-04 +1.0340753508949155e-03 +1.3010724545552356e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.3465308392857282e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.7556563018601624e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +3.5739916910798678e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +5.8469109276044995e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.0392749400653764e-09 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.4030264819801556e-09 +0.0000000000000000e+00 +4.6759457185047880e-09
                     +43 +2.1290563315391528e-14 +8.4260002961324739e-07 +8.9726114277722350e-07 +1.4768209688304769e-06 +5.9605306942263879e-06 +1.5945552992337239e-05 +5.0516831177795077e-05 +2.7104072173297363e-04 +1.0279473150362080e-03 +1.2299590576903860e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.2730836207062835e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.6612046878493648e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +3.3861872084852797e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +5.5424153592801729e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +9.8548716608699635e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.2792240565639325e-09 +0.0000000000000000e+00 +4.4354522073588269e-09
                     +44 +1.9300794481237848e-14 +8.3283673983004969e-07 +8.8701480381675147e-07 +1.4616836714185574e-06 +5.9119126387336216e-06 +1.5828094054943130e-05 +5.0172175938228409e-05 +2.6929331766161721e-04 +1.0214646100422014e-03 +1.1637325566365769e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.2046733507489990e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.5731404977607988e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +3.2107722622576859e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +5.2578119678787941e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +9.3518913791210106e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.1634129612847654e-09 +0.0000000000000000e+00 +4.2104526669058740e-09
                     +45 +1.7535177999964398e-14 +8.2303015497218070e-07 +8.7671357601828280e-07 +1.4463644114410268e-06 +5.8619256112490052e-06 +1.5706384345813407e-05 +4.9811992558125020e-05 +2.6746235607465180e-04 +1.0146580158590240e-03 +1.1017090125222835e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.1405951582994212e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.4905704702936606e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +3.0460163013791679e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +4.9903235902360526e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +8.8789381679498220e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.0544781901091131e-09 +0.0000000000000000e+00 +3.9987854789659975e-09
                     +46 +1.5963014360157052e-14 +8.1320236330549842e-07 +8.6638162740503806e-07 +1.4309022498811808e-06 +5.8107388113317620e-06 +1.5580861529877261e-05 +4.9438893400158638e-05 +2.6555525964573807e-04 +1.0075566270627248e-03 +1.0437008411761723e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.0806586062776830e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.4132784921912822e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.8915890962517217e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +4.7394773513272707e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +8.4352538614783687e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.9522583391931665e-09 +0.0000000000000000e+00 +3.8001465942687159e-09
                     +47 +1.4555158848962306e-14 +8.0337534355287030e-07 +8.5604259224364115e-07 +1.4153381649548073e-06 +5.7585054145367381e-06 +1.5451967535408276e-05 +4.9053905128356861e-05 +2.6357966085489398e-04 +1.0001891281049018e-03 +9.8934819325769650e-11 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.0244909240518289e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.3407755011990225e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.7464847329643255e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +4.5036212726709551e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +8.0178943520842123e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.8560802463641509e-09 +0.0000000000000000e+00 +3.6132360619875021e-09
                     +48 +1.3292473224804804e-14 +7.9355756846400045e-07 +8.4570544492747192e-07 +1.3996884319310332e-06 +5.7053827996770271e-06 +1.5320108441986055e-05 +4.8658274176184036e-05 +2.6154250057400317e-04 +9.9258188568867472e-04 +9.3953980977030164e-11 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +9.7300002993604018e-11 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.2729841316817386e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.6105812032463879e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +4.2825775427021981e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +7.6275261968598742e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.7660909203304758e-09 +0.0000000000000000e+00 +3.4383214214046225e-09
                     +49 +1.2159193572776179e-14 +7.8377696864720592e-07 +8.3540032128991955e-07 +1.3840063402132987e-06 +5.6514898012204384e-06 +1.5185622918532656e-05 +4.8253212947359331e-05 +2.5945011716664937e-04 +9.8475871011522212e-04 +8.9212797583002893e-11 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +9.2399117734544306e-11 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.2107599909841690e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.4835674856120148e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +4.0758951292428610e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +7.2605967415167941e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.6814735196853380e-09 +0.0000000000000000e+00 +3.2738299289081025e-09
                     +50 +1.1141584376293251e-14 +7.7404457538156107e-07 +8.2513920460490526e-07 +1.3683131231825817e-06 +5.5969808032770483e-06 +1.5048930921752281e-05 +4.7839866776940276e-05 +2.5730889109149051e-04 +9.7674471706103304e-04 +8.4759927414112493e-11 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +8.7795676825237237e-11 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.1511742152535987e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +2.3654739797034939e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +3.8819337277699457e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +6.9158172496090283e-10 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.6019406628622424e-09 +0.0000000000000000e+00 +3.1192055593644752e-09
